"Current_A","Current_B","Current_C","Current_N","Current_G","Current_Avg","Current_UNB_A","Current_UNB_B","Current_UNB_C","Current_UNB_Worst","Voltage_A_B","Voltage_B_C","Voltage_C_A","Voltage_L_L_Avg","Voltage_A_N","Voltage_B_N","Voltage_C_N","rsrv1","Voltage_L_N_Avg","Voltage_UNB_A_B","Voltage_UNB_B_C","Voltage_UNB_C_A","Voltage_UNB_L_L_Worst","Voltage_UNB_A_N","Voltage_UNB_B_N","Voltage_UNB_C_N","Voltage_UNB_L_N_Worst","Active_Power_A","Active_Power_B","Active_Power_C","Active_Power_Total","Reactive_Power_A","Reactive_Power_B","Reactive_Power_C","Reactive_Power_Total","Apparent_Power_A","Apparent_Power_B","Apparent_Power_C","Apparent_Power_Total","Power_Factor_A","Power_Factor_B","Power_Factor_C","Power_Factor_Total","Frequency","Temperature","Active_Energy_LastDay","rsrv2","rsrv3","rsrv4","Energy_Acum_Datetime","Active_Energy_Delivered","Active_Energy_Received","Active_Energy_del_p_rec","Active_Energy_del_m_rec","Reactive_Energy_Delivered","Reactive_Energy_Received","Reactive_Energy_del_p_rec","Reactive_Energy_del_m_rec","Apparent_Energy_Delivered","Apparent_Energy_Received","Apparent_Energy_del_p_rec","createdAt"
"10.57","2.14","3.35","6.98","13","2","1","2","5","380","391","383","380","233.19","233.6","234.25","0","233.68","30","23","26","12","12","15","15","0","0","2.03","0.33","0.28","2.64","1.4","0.38","-0.09","1.68","2.46","0.5","0.29","3.13","0.82","0.66","1.05","0.84","50.05","41.25","2.93","0","0","0","0","452658.97","453.33","453112.31","452205.62","357617.53","678.72","358296.25","356938.81","587794.06","1235.12","4","2023-05-01T19:54:23.522Z"
"10.57","2.14","3.35","6.98","13","2","1","2","5","380","391","383","380","233.16","233.62","234.3","0","233.7","30","23","26","12","12","15","15","0","0","2.03","0.33","0.28","2.63","1.4","0.38","-0.1","1.68","2.46","0.5","0.29","3.13","0.82","0.66","1.05","0.84","50.04","41.56","2.93","0","0","0","0","452659","453.33","453112.31","452205.66","357617.53","678.72","358296.25","356938.84","587794.12","1235.12","4","2023-05-01T19:54:37.907Z"
"10.57","2.14","3.35","6.98","13","2","1","2","5","380","391","383","380","233.27","233.71","234.4","0","233.79","30","23","26","12","12","15","15","0","0","2.03","0.33","0.28","2.63","1.4","0.38","-0.1","1.68","2.46","0.5","0.29","3.13","0.82","0.66","1.05","0.84","50.04","40.95","2.93","0","0","0","0","452659","453.33","453112.34","452205.66","357617.56","678.72","358296.25","356938.84","587794.12","1235.12","4","2023-05-01T19:54:48.290Z"
"10.55","2.14","1.26","8.42","13","2","1","2","5","380","391","383","380","233.19","233.64","234.3","0","233.71","30","23","26","12","12","15","15","0","0","2.03","0.33","0.28","2.63","1.4","0.38","-0.1","1.68","2.46","0.5","0.29","3.13","0.82","0.66","1.05","0.84","50.05","40.95","2.93","0","0","0","0","452659","453.33","453112.34","452205.69","357617.56","678.72","358296.28","356938.84","587794.12","1235.12","4","2023-05-01T19:55:00.677Z"
"10.55","2.14","1.26","8.41","13","2","1","2","5","380","391","383","380","233.24","233.7","234.37","0","233.77","30","23","26","12","12","15","15","0","0","2.02","0.33","0.28","2.63","1.4","0.38","-0.09","1.68","2.46","0.5","0.29","3.12","0.82","0.66","1.05","0.84","50.05","40.95","2.93","0","0","0","0","452659","453.33","453112.34","452205.69","357617.56","678.72","358296.28","356938.84","587794.12","1235.12","4","2023-05-01T19:55:11.089Z"
"10.55","2.14","1.26","8.41","13","2","1","2","5","380","391","383","380","233.18","233.66","234.31","0","233.72","30","23","26","12","12","15","15","0","0","2.02","0.33","0.28","2.63","1.4","0.38","-0.09","1.68","2.46","0.5","0.29","3.12","0.82","0.66","1.05","0.84","50.04","40.64","2.93","0","0","0","0","452659","453.33","453112.34","452205.69","357617.56","678.72","358296.28","356938.84","587794.12","1235.12","4","2023-05-01T19:55:23.439Z"
"10.55","2.14","1.26","8.41","13","2","1","2","5","380","391","383","380","233.2","233.7","234.36","0","233.75","30","23","26","12","12","15","15","0","0","2.02","0.33","0.28","2.63","1.4","0.38","-0.09","1.68","2.46","0.5","0.29","3.12","0.82","0.66","1.05","0.84","50.04","40.33","2.93","0","0","0","0","452659.03","453.33","453112.38","452205.69","357617.56","678.72","358296.28","356938.84","587794.12","1235.12","4","2023-05-01T19:55:35.817Z"
"10.55","2.14","1.26","8.41","13","2","1","2","5","380","391","383","380","233.15","233.63","234.33","0","233.7","30","23","26","12","12","15","15","0","0","2.02","0.33","0.28","2.63","1.4","0.38","-0.1","1.68","2.46","0.5","0.29","3.12","0.82","0.66","1.05","0.84","50.03","40.95","2.93","0","0","0","0","452659.03","453.33","453112.38","452205.72","357617.56","678.72","358296.28","356938.88","587794.19","1235.12","4","2023-05-01T19:55:48.053Z"
"10.55","2.14","1.26","8.41","13","2","1","2","5","380","391","383","380","233.15","233.63","234.33","0","233.7","30","23","26","12","12","15","15","0","0","2.02","0.33","0.28","2.63","1.4","0.38","-0.09","1.68","2.46","0.5","0.29","3.12","0.82","0.66","1.05","0.84","50.04","41.25","2.93","0","0","0","0","452659.06","453.33","453112.38","452205.72","357617.59","678.72","358296.31","356938.88","587794.19","1235.12","4","2023-05-01T19:56:01.691Z"
"10.53","2.14","1.26","8.39","13","2","1","2","5","380","391","383","380","233.07","233.57","234.27","0","233.64","30","23","26","12","12","15","15","0","0","2.02","0.33","0.28","2.63","1.4","0.38","-0.1","1.68","2.46","0.5","0.29","3.12","0.82","0.66","1.05","0.84","50.04","41.25","2.93","0","0","0","0","452659.06","453.33","453112.38","452205.72","357617.59","678.72","358296.31","356938.88","587794.19","1235.12","4","2023-05-01T19:56:11.100Z"
